Algorithm,ArrayType,Size,Comparisons,Movements,Time(us)
LinearSearch,Sorted,10,10,0,23
LinearSearch,Reversed,10,10,0,11
LinearSearch,AlmostSorted,10,10,0,12
LinearSearch,Random,10,10,0,38
LinearSearchInsert,Sorted,10,0,1,20
LinearSearchRemove,Sorted,10,0,1,19
LinearSearchInsert,Reversed,10,0,1,22
LinearSearchRemove,Reversed,10,0,1,22
LinearSearchInsert,AlmostSorted,10,0,1,20
LinearSearchRemove,AlmostSorted,10,0,1,20
LinearSearchInsert,Random,10,0,1,19
LinearSearchRemove,Random,10,0,1,18
BinarySearch,Sorted,10,4,0,170
AVLTreeInsert,Sorted,10,25,16,228
AVLTreeRemove,Sorted,10,22,13,190
AVLTreeSearch,Sorted,10,1,0,45
AVLTreeInsert,Reversed,10,25,16,215
AVLTreeRemove,Reversed,10,22,13,187
AVLTreeSearch,Reversed,10,1,0,45
AVLTreeInsert,AlmostSorted,10,25,17,191
AVLTreeRemove,AlmostSorted,10,23,14,187
AVLTreeSearch,AlmostSorted,10,1,0,93
AVLTreeInsert,Random,10,18,9,184
AVLTreeRemove,Random,10,19,9,276
AVLTreeSearch,Random,10,1,0,42
FingerTreeInsert,Sorted,10,25,10,18
FingerTreeRemove,Sorted,10,22,10,7
FingerTreeSearch,Sorted,10,1,0,4
FingerTreeInsert,Reversed,10,29,0,5
FingerTreeRemove,Reversed,10,22,10,24
FingerTreeSearch,Reversed,10,1,0,2
FingerTreeInsert,AlmostSorted,10,30,0,4
FingerTreeRemove,AlmostSorted,10,23,12,6
FingerTreeSearch,AlmostSorted,10,1,0,1
FingerTreeInsert,Random,10,23,0,3
FingerTreeRemove,Random,10,19,8,5
FingerTreeSearch,Random,10,1,0,1
BinarySearchTreeInsert,Sorted,10,45,10,3
BinarySearchTreeRemove,Sorted,10,10,10,2
BinarySearchTreeSearch,Sorted,10,0,0,0
BinarySearchTreeInsert,Reversed,10,45,10,2
BinarySearchTreeRemove,Reversed,10,10,10,2
BinarySearchTreeSearch,Reversed,10,0,0,0
BinarySearchTreeInsert,AlmostSorted,10,27,10,3
BinarySearchTreeRemove,AlmostSorted,10,17,13,2
BinarySearchTreeSearch,AlmostSorted,10,0,0,0
BinarySearchTreeInsert,Random,10,21,10,2
BinarySearchTreeRemove,Random,10,26,14,2
BinarySearchTreeSearch,Random,10,0,0,0
LinearSearch,Sorted,100,100,0,13
LinearSearch,Reversed,100,100,0,12
LinearSearch,AlmostSorted,100,100,0,40
LinearSearch,Random,100,100,0,12
LinearSearchInsert,Sorted,100,0,1,20
LinearSearchRemove,Sorted,100,0,1,21
LinearSearchInsert,Reversed,100,0,1,20
LinearSearchRemove,Reversed,100,0,1,20
LinearSearchInsert,AlmostSorted,100,0,1,21
LinearSearchRemove,AlmostSorted,100,0,1,20
LinearSearchInsert,Random,100,0,1,20
LinearSearchRemove,Random,100,0,1,21
BinarySearch,Sorted,100,7,0,307
AVLTreeInsert,Sorted,100,573,193,2092
AVLTreeRemove,Sorted,100,449,144,2057
AVLTreeSearch,Sorted,100,1,0,44
AVLTreeInsert,Reversed,100,573,193,1977
AVLTreeRemove,Reversed,100,449,144,2309
AVLTreeSearch,Reversed,100,1,0,126
AVLTreeInsert,AlmostSorted,100,579,202,2226
AVLTreeRemove,AlmostSorted,100,483,195,2092
AVLTreeSearch,AlmostSorted,100,1,0,36
AVLTreeInsert,Random,100,468,93,1959
AVLTreeRemove,Random,100,460,107,2018
AVLTreeSearch,Random,100,1,0,46
FingerTreeInsert,Sorted,100,573,100,52
FingerTreeRemove,Sorted,100,449,100,48
FingerTreeSearch,Sorted,100,1,0,2
FingerTreeInsert,Reversed,100,580,0,40
FingerTreeRemove,Reversed,100,449,100,45
FingerTreeSearch,Reversed,100,1,0,1
FingerTreeInsert,AlmostSorted,100,581,0,41
FingerTreeRemove,AlmostSorted,100,483,152,48
FingerTreeSearch,AlmostSorted,100,1,0,1
FingerTreeInsert,Random,100,513,0,51
FingerTreeRemove,Random,100,460,84,44
FingerTreeSearch,Random,100,1,0,1
BinarySearchTreeInsert,Sorted,100,4950,100,37
BinarySearchTreeRemove,Sorted,100,100,100,20
BinarySearchTreeSearch,Sorted,100,0,0,0
