Algorithm,ArrayType,Size,Comparisons,Movements,Time(us)
LinearSearch,Sorted,10,1,0,172
LinearSearch,Reversed,10,10,0,133
LinearSearch,AlmostSorted,10,3,0,155
LinearSearch,Random,10,10,0,172
LinearSearchInsert,Sorted,10,0,1,162
LinearSearchRemove,Sorted,10,0,1,203
LinearSearchInsert,Reversed,10,0,1,253
LinearSearchRemove,Reversed,10,0,1,310
LinearSearchInsert,AlmostSorted,10,0,1,245
LinearSearchRemove,AlmostSorted,10,0,1,194
LinearSearchInsert,Random,10,0,1,177
LinearSearchRemove,Random,10,0,1,175
BinarySearch,Sorted,10,3,0,0
BinarySearch,Reversed,10,3,0,0
BinarySearch,AlmostSorted,10,3,0,0
BinarySearch,Random,10,3,0,0
AVLTreeInsert,Sorted,10,24,10,8
AVLTreeRemove,Sorted,10,22,15,4
AVLTreeInsert,Reversed,10,25,10,5
AVLTreeRemove,Reversed,10,22,10,4
AVLTreeInsert,AlmostSorted,10,23,10,5
AVLTreeRemove,AlmostSorted,10,22,16,4
AVLTreeInsert,Random,10,19,6,4
AVLTreeRemove,Random,10,20,7,2
FingerTreeInsert,Sorted,10,37,0,5
FingerTreeRemove,Sorted,10,18,0,3
FingerTreeInsert,Reversed,10,45,0,3
FingerTreeRemove,Reversed,10,10,0,2
FingerTreeInsert,AlmostSorted,10,31,0,3
FingerTreeRemove,AlmostSorted,10,18,0,2
FingerTreeInsert,Random,10,21,0,3
FingerTreeRemove,Random,10,11,0,2
BinarySearchTreeInsert,Sorted,10,37,10,3
BinarySearchTreeRemove,Sorted,10,18,18,2
BinarySearchTreeInsert,Reversed,10,45,10,4
BinarySearchTreeRemove,Reversed,10,10,10,4
BinarySearchTreeInsert,AlmostSorted,10,31,10,3
BinarySearchTreeRemove,AlmostSorted,10,18,17,2
BinarySearchTreeInsert,Random,10,26,10,3
BinarySearchTreeRemove,Random,10,26,14,2
LinearSearch,Sorted,100,1,0,168
LinearSearch,Reversed,100,100,0,160
LinearSearch,AlmostSorted,100,99,0,185
LinearSearch,Random,100,21,0,167
LinearSearchInsert,Sorted,100,0,1,266
LinearSearchRemove,Sorted,100,0,1,386
LinearSearchInsert,Reversed,100,0,1,250
LinearSearchRemove,Reversed,100,0,1,222
LinearSearchInsert,AlmostSorted,100,0,1,273
LinearSearchRemove,AlmostSorted,100,0,1,301
LinearSearchInsert,Random,100,0,1,257
LinearSearchRemove,Random,100,0,1,244
BinarySearch,Sorted,100,6,0,0
BinarySearch,Reversed,100,6,0,0
BinarySearch,AlmostSorted,100,6,0,0
BinarySearch,Random,100,6,0,0
AVLTreeInsert,Sorted,100,573,100,60
AVLTreeRemove,Sorted,100,473,173,27
AVLTreeInsert,Reversed,100,573,100,46
AVLTreeRemove,Reversed,100,449,100,23
AVLTreeInsert,AlmostSorted,100,584,100,48
AVLTreeRemove,AlmostSorted,100,484,147,26
AVLTreeInsert,Random,100,464,62,36
AVLTreeRemove,Random,100,458,98,25
FingerTreeInsert,Sorted,100,4852,0,54
FingerTreeRemove,Sorted,100,198,0,12
FingerTreeInsert,Reversed,100,4950,0,50
FingerTreeRemove,Reversed,100,100,0,12
FingerTreeInsert,AlmostSorted,100,1798,0,28
FingerTreeRemove,AlmostSorted,100,630,0,14
FingerTreeInsert,Random,100,593,0,23
FingerTreeRemove,Random,100,450,0,17
BinarySearchTreeInsert,Sorted,100,4852,100,59
BinarySearchTreeRemove,Sorted,100,198,198,12
BinarySearchTreeInsert,Reversed,100,4950,100,62
BinarySearchTreeRemove,Reversed,100,100,100,12
BinarySearchTreeInsert,AlmostSorted,100,1798,100,28
BinarySearchTreeRemove,AlmostSorted,100,630,144,21
BinarySearchTreeInsert,Random,100,681,100,37
BinarySearchTreeRemove,Random,100,604,159,17
LinearSearch,Sorted,1000,1,0,223
LinearSearch,Reversed,1000,1000,0,174
LinearSearch,AlmostSorted,1000,1,0,244
LinearSearch,Random,1000,1000,0,231
LinearSearchInsert,Sorted,1000,0,1,256
LinearSearchRemove,Sorted,1000,0,1,231
LinearSearchInsert,Reversed,1000,0,1,450
LinearSearchRemove,Reversed,1000,0,1,313
LinearSearchInsert,AlmostSorted,1000,0,1,243
LinearSearchRemove,AlmostSorted,1000,0,1,326
LinearSearchInsert,Random,1000,0,1,330
LinearSearchRemove,Random,1000,0,1,293
BinarySearch,Sorted,1000,9,0,0
BinarySearch,Reversed,1000,9,0,0
BinarySearch,AlmostSorted,1000,9,0,0
BinarySearch,Random,1000,9,0,0
AVLTreeInsert,Sorted,1000,8977,1000,387
AVLTreeRemove,Sorted,1000,7052,1748,247
AVLTreeInsert,Reversed,1000,8977,1000,397
AVLTreeRemove,Reversed,1000,6806,1000,324
AVLTreeInsert,AlmostSorted,1000,9568,1000,397
AVLTreeRemove,AlmostSorted,1000,7835,1625,350
AVLTreeInsert,Random,1000,7976,633,324
AVLTreeRemove,Random,1000,7892,968,284
FingerTreeInsert,Sorted,1000,498502,0,4772
FingerTreeRemove,Sorted,1000,1998,0,129
FingerTreeInsert,Reversed,1000,499500,0,4712
FingerTreeRemove,Reversed,1000,1000,0,123
FingerTreeInsert,AlmostSorted,1000,24471,0,305
FingerTreeRemove,AlmostSorted,1000,9793,0,213
FingerTreeInsert,Random,1000,9533,0,201
FingerTreeRemove,Random,1000,8488,0,167
BinarySearchTreeInsert,Sorted,1000,498502,1000,4744
BinarySearchTreeRemove,Sorted,1000,1998,1998,190
BinarySearchTreeInsert,Reversed,1000,499500,1000,5053
BinarySearchTreeRemove,Reversed,1000,1000,1000,174
BinarySearchTreeInsert,AlmostSorted,1000,24471,1000,297
BinarySearchTreeRemove,AlmostSorted,1000,9793,1552,173
BinarySearchTreeInsert,Random,1000,10399,1000,221
BinarySearchTreeRemove,Random,1000,9749,1600,178
LinearSearch,Sorted,10000,1,0,175
LinearSearch,Reversed,10000,10000,0,232
LinearSearch,AlmostSorted,10000,1,0,213
LinearSearch,Random,10000,8876,0,200
LinearSearchInsert,Sorted,10000,0,1,305
LinearSearchRemove,Sorted,10000,0,1,244
LinearSearchInsert,Reversed,10000,0,1,361
LinearSearchRemove,Reversed,10000,0,1,317
LinearSearchInsert,AlmostSorted,10000,0,1,337
LinearSearchRemove,AlmostSorted,10000,0,1,224
LinearSearchInsert,Random,10000,0,1,311
LinearSearchRemove,Random,10000,0,1,293
BinarySearch,Sorted,10000,13,0,0
BinarySearch,Reversed,10000,13,0,0
BinarySearch,AlmostSorted,10000,13,0,1
BinarySearch,Random,10000,13,0,1
AVLTreeInsert,Sorted,10000,123616,10000,4405
AVLTreeRemove,Sorted,10000,95053,17498,2928
AVLTreeInsert,Reversed,10000,123617,10000,4617
AVLTreeRemove,Reversed,10000,92566,10000,4041
AVLTreeInsert,AlmostSorted,10000,132205,10000,5201
AVLTreeRemove,AlmostSorted,10000,108919,16533,4747
AVLTreeInsert,Random,10000,113652,6267,4982
AVLTreeRemove,Random,10000,112088,9567,3505
FingerTreeInsert,Sorted,10000,49985002,0,521322
FingerTreeRemove,Sorted,10000,19998,0,1331
FingerTreeInsert,Reversed,10000,49995000,0,561667
FingerTreeRemove,Reversed,10000,10000,0,1246
FingerTreeInsert,AlmostSorted,10000,584273,0,7722
FingerTreeRemove,AlmostSorted,10000,164277,0,2367
FingerTreeInsert,Random,10000,150771,0,2765
FingerTreeRemove,Random,10000,135646,0,2224
BinarySearchTreeInsert,Sorted,10000,49985002,10000,271010
BinarySearchTreeRemove,Sorted,10000,19998,19998,1311
BinarySearchTreeInsert,Reversed,10000,49995000,10000,559065
BinarySearchTreeRemove,Reversed,10000,10000,10000,1220
BinarySearchTreeInsert,AlmostSorted,10000,584273,10000,5647
BinarySearchTreeRemove,AlmostSorted,10000,164277,15905,2548
BinarySearchTreeInsert,Random,10000,159284,10000,3376
BinarySearchTreeRemove,Random,10000,149494,15771,3165
LinearSearch,Sorted,100000,1,0,184
LinearSearch,Reversed,100000,100000,0,555
LinearSearch,AlmostSorted,100000,88944,0,505
LinearSearch,Random,100000,100000,0,591
LinearSearchInsert,Sorted,100000,0,1,601
LinearSearchRemove,Sorted,100000,0,1,380
LinearSearchInsert,Reversed,100000,0,1,664
LinearSearchRemove,Reversed,100000,0,1,776
LinearSearchInsert,AlmostSorted,100000,0,1,520
LinearSearchRemove,AlmostSorted,100000,0,1,718
LinearSearchInsert,Random,100000,0,1,483
LinearSearchRemove,Random,100000,0,1,711
BinarySearch,Sorted,100000,16,0,0
BinarySearch,Reversed,100000,16,0,1
BinarySearch,AlmostSorted,100000,16,0,1
BinarySearch,Random,100000,16,0,0
AVLTreeInsert,Sorted,100000,1568929,100000,47599
AVLTreeRemove,Sorted,100000,1220361,174998,40976
AVLTreeInsert,Reversed,100000,1568929,100000,47149
AVLTreeRemove,Reversed,100000,1195394,100000,33701
AVLTreeInsert,AlmostSorted,100000,1690897,100000,60447
AVLTreeRemove,AlmostSorted,100000,1392150,163670,64550
AVLTreeInsert,Random,100000,1476056,63180,61167
AVLTreeRemove,Random,100000,1462262,96828,55702
