Algorithm,ArrayType,Size,Comparisons,Movements,Time(us)
InsertionSort,Sorted,10,9,9,0
InsertionSort,Reversed,10,45,54,0
InsertionSort,AlmostSorted,10,9,9,0
InsertionSort,Random,10,27,30,0
BubbleSort,Sorted,10,45,0,0
BubbleSort,Reversed,10,45,0,0
BubbleSort,AlmostSorted,10,45,0,0
BubbleSort,Random,10,45,0,0
HeapSort,Sorted,10,72,31,1
HeapSort,Reversed,10,72,31,3
HeapSort,AlmostSorted,10,72,31,0
HeapSort,Random,10,68,29,0
MergeSort,Sorted,10,19,34,23
MergeSort,Reversed,10,19,34,5
MergeSort,AlmostSorted,10,19,34,3
MergeSort,Random,10,19,34,3
QuickSort,Sorted,10,45,54,6
QuickSort,Reversed,10,45,54,4
QuickSort,AlmostSorted,10,45,54,3
QuickSort,Random,10,21,18,2
ShellSort,Sorted,10,22,22,0
ShellSort,Reversed,10,22,22,0
ShellSort,AlmostSorted,10,22,22,0
ShellSort,Random,10,22,22,0
InsertionSort,Sorted,100,99,99,0
InsertionSort,Reversed,100,4950,5049,34
InsertionSort,AlmostSorted,100,837,837,7
InsertionSort,Random,100,2499,2501,18
BubbleSort,Sorted,100,4950,0,20
BubbleSort,Reversed,100,4950,0,20
BubbleSort,AlmostSorted,100,4950,0,19
BubbleSort,Random,100,4950,0,20
HeapSort,Sorted,100,1382,641,16
HeapSort,Reversed,100,1382,641,16
HeapSort,AlmostSorted,100,1382,641,16
HeapSort,Random,100,1352,626,19
MergeSort,Sorted,100,356,672,39
MergeSort,Reversed,100,356,672,35
MergeSort,AlmostSorted,100,356,672,35
MergeSort,Random,100,356,672,38
QuickSort,Sorted,100,4950,5049,61
QuickSort,Reversed,100,4950,5049,75
QuickSort,AlmostSorted,100,4950,5049,57
QuickSort,Random,100,3515,3540,42
ShellSort,Sorted,100,503,503,3
ShellSort,Reversed,100,503,503,3
ShellSort,AlmostSorted,100,503,503,3
ShellSort,Random,100,503,503,3
InsertionSort,Sorted,1000,999,999,8
InsertionSort,Reversed,1000,499500,500499,3505
InsertionSort,AlmostSorted,1000,52045,52045,377
InsertionSort,Random,1000,250196,250199,1749
BubbleSort,Sorted,1000,499500,0,1979
BubbleSort,Reversed,1000,499500,0,1985
BubbleSort,AlmostSorted,1000,499500,0,1982
BubbleSort,Random,1000,499500,0,1665
HeapSort,Sorted,1000,20418,9709,167
HeapSort,Reversed,1000,20418,9709,175
HeapSort,AlmostSorted,1000,20418,9709,172
HeapSort,Random,1000,20300,9650,170
MergeSort,Sorted,1000,5044,9976,242
MergeSort,Reversed,1000,5044,9976,229
MergeSort,AlmostSorted,1000,5044,9976,246
MergeSort,Random,1000,5044,9976,247
QuickSort,Sorted,1000,499500,500499,3330
QuickSort,Reversed,1000,499500,500499,3413
