Algorithm,ArrayType,Size,Comparisons,Movements,Time(us)
InsertionSort,Sorted,10,9,9,0
InsertionSort,Reversed,10,45,54,0
InsertionSort,AlmostSorted,10,20,22,0
InsertionSort,Random,10,27,29,0
BubbleSort,Sorted,10,45,0,0
BubbleSort,Reversed,10,45,0,0
BubbleSort,AlmostSorted,10,45,0,0
BubbleSort,Random,10,45,0,0
HeapSort,Sorted,10,72,31,1
HeapSort,Reversed,10,72,31,1
HeapSort,AlmostSorted,10,72,31,0
HeapSort,Random,10,72,31,1
MergeSort,Sorted,10,19,34,35
MergeSort,Reversed,10,19,34,8
MergeSort,AlmostSorted,10,19,34,5
MergeSort,Random,10,19,34,5
QuickSort,Sorted,10,45,54,1
QuickSort,Reversed,10,45,54,0
QuickSort,AlmostSorted,10,45,54,1
QuickSort,Random,10,33,36,0
ShellSort,Sorted,10,22,22,0
ShellSort,Reversed,10,22,22,0
ShellSort,AlmostSorted,10,22,22,0
ShellSort,Random,10,22,22,0
InsertionSort,Sorted,100,99,99,1
InsertionSort,Reversed,100,4950,5049,35
InsertionSort,AlmostSorted,100,651,651,5
InsertionSort,Random,100,2687,2689,20
BubbleSort,Sorted,100,4950,0,22
BubbleSort,Reversed,100,4950,0,13
BubbleSort,AlmostSorted,100,4950,0,12
BubbleSort,Random,100,4950,0,23
HeapSort,Sorted,100,1382,641,16
HeapSort,Reversed,100,1382,641,16
HeapSort,AlmostSorted,100,1382,641,16
HeapSort,Random,100,1378,639,16
MergeSort,Sorted,100,356,672,39
MergeSort,Reversed,100,356,672,35
MergeSort,AlmostSorted,100,356,672,38
MergeSort,Random,100,356,672,49
QuickSort,Sorted,100,4950,5049,41
QuickSort,Reversed,100,4950,5049,50
QuickSort,AlmostSorted,100,4950,5049,50
QuickSort,Random,100,3169,3198,34
ShellSort,Sorted,100,503,503,4
ShellSort,Reversed,100,503,503,4
ShellSort,AlmostSorted,100,503,503,4
ShellSort,Random,100,503,503,4
InsertionSort,Sorted,1000,999,999,8
InsertionSort,Reversed,1000,499500,500499,2128
InsertionSort,AlmostSorted,1000,54311,54311,217
InsertionSort,Random,1000,243855,243860,1077
BubbleSort,Sorted,1000,499500,0,1173
BubbleSort,Reversed,1000,499500,0,1171
BubbleSort,AlmostSorted,1000,499500,0,1175
BubbleSort,Random,1000,499500,0,1272
HeapSort,Sorted,1000,20418,9709,155
HeapSort,Reversed,1000,20418,9709,153
HeapSort,AlmostSorted,1000,20418,9709,168
HeapSort,Random,1000,20312,9656,155
MergeSort,Sorted,1000,5044,9976,406
MergeSort,Reversed,1000,5044,9976,404
MergeSort,AlmostSorted,1000,5044,9976,403
MergeSort,Random,1000,5044,9976,395
QuickSort,Sorted,1000,499500,500499,4978
QuickSort,Reversed,1000,499500,500499,4512
QuickSort,AlmostSorted,1000,499500,500499,2812
QuickSort,Random,1000,316828,317054,1794
ShellSort,Sorted,1000,8006,8006,32
ShellSort,Reversed,1000,8006,8006,62
ShellSort,AlmostSorted,1000,8006,8006,62
ShellSort,Random,1000,8006,8006,64
InsertionSort,Sorted,10000,9999,9999,74
InsertionSort,Reversed,10000,49995000,50004999,191240
InsertionSort,AlmostSorted,10000,6067856,6067856,21106
InsertionSort,Random,10000,25004217,25004228,86091
BubbleSort,Sorted,10000,49995000,0,135495
BubbleSort,Reversed,10000,49995000,0,200410
BubbleSort,AlmostSorted,10000,49995000,0,190871
BubbleSort,Random,10000,49995000,0,235801
HeapSort,Sorted,10000,273914,131957,8510
HeapSort,Reversed,10000,273914,131957,8667
HeapSort,AlmostSorted,10000,273914,131957,7436
HeapSort,Random,10000,272380,131190,4101
MergeSort,Sorted,10000,69008,133616,12273
MergeSort,Reversed,10000,69008,133616,12147
MergeSort,AlmostSorted,10000,69008,133616,7442
MergeSort,Random,10000,69008,133616,7011
QuickSort,Sorted,10000,49995000,50004999,479126
QuickSort,Reversed,10000,49995000,50004999,442935
QuickSort,AlmostSorted,10000,49995000,50004999,708586
QuickSort,Random,10000,31655471,31657832,424341
ShellSort,Sorted,10000,120005,120005,958
ShellSort,Reversed,10000,120005,120005,851
ShellSort,AlmostSorted,10000,120005,120005,806
ShellSort,Random,10000,120005,120005,897
InsertionSort,Sorted,100000,99999,99999,586
InsertionSort,Reversed,100000,4999950000,5000049999,2.80493e+07
InsertionSort,AlmostSorted,100000,578538733,578538735,2.80045e+06
InsertionSort,Random,100000,2501539529,2501539539,1.31719e+07
BubbleSort,Sorted,100000,4999950000,0,1.7305e+07
BubbleSort,Reversed,100000,4999950000,0,1.67757e+07
BubbleSort,AlmostSorted,100000,4999950000,0,1.66742e+07
BubbleSort,Random,100000,4999950000,0,1.47514e+07
HeapSort,Sorted,100000,3401710,1650855,36944
HeapSort,Reversed,100000,3401710,1650855,35878
HeapSort,AlmostSorted,100000,3401710,1650855,37338
HeapSort,Random,100000,3398046,1649023,36591
MergeSort,Sorted,100000,853904,1668928,38155
MergeSort,Reversed,100000,853904,1668928,38016
MergeSort,AlmostSorted,100000,853904,1668928,37536
MergeSort,Random,100000,853904,1668928,39539
